model_dataset_name,BaselineNaiveSeasonal - m4
model,BaselineNaiveSeasonal
dataset,m4
current_date,2023-03-13 20:03:05
training_time,1.0696008529999972
Mean Absolute Error,346.0570418181818
Mean Absolute Percentage Error,0.14180455119533486
Symmetric Mean Absolute Percentage Error,0.06808886383180321
Mean Squared Error,458848.25364700303
Root Mean Squared Error,420.15750232221
Root Mean Squared Log Error,0.16536156550135048
R-squared,-0.4485620360769491
Mean of the Residuals,26.393472121212117
Standard Deviation of the Residuals,399.65218777947337
