model_dataset_name,BaselineNaive - m4
model,BaselineNaive
dataset,m4
current_date,2023-03-13 16:34:14
training_time,0.583176874963101
Mean Absolute Error,194.9346333333333
Mean Absolute Percentage Error,0.07726002638470314
Symmetric Mean Absolute Percentage Error,0.03809250284225237
Mean Squared Error,179480.8408270624
Root Mean Squared Error,249.77706788416336
Root Mean Squared Log Error,0.0975671370724986
R-squared,0.4535021038650442
Mean of the Residuals,8.68328787878788
Standard Deviation of the Residuals,250.5894852244866
